ICAO;YEAR;TRAFFIC
LDZA;2016;19798
LDZA;2017;20521
LDZA;2018;21562
LDZA;2019;22152
LDZA;2020;10628
LDZA;2021;14466
LDZA;2022;20855
LDZA;2023;3069
LEAL;2016;43420
LEAL;2017;47557
LEAL;2018;48287
LEAL;2019;50602
LEAL;2020;18499
LEAL;2021;25631
LEAL;2022;44882
LEAL;2023;5343
LEAM;2016;4969
LEAM;2017;5076
LEAM;2018;4911
LEAM;2019;4706
LEAM;2020;1828
LEAM;2021;2386
LEAM;2022;3739
LEAM;2023;431
LEAS;2016;5647
LEAS;2017;6143
LEAS;2018;5812
LEAS;2019;6329
LEAS;2020;2872
LEAS;2021;3769
LEAS;2022;5768
LEAS;2023;905
LEBB;2016;20739
LEBB;2017;21980
LEBB;2018;23576
LEBB;2019;24476
LEBB;2020;8870
LEBB;2021;11690
LEBB;2022;21037
LEBB;2023;2905
LEBL;2016;153931
LEBL;2017;161771
LEBL;2018;167833
LEBL;2019;172268
LEBL;2020;61317
LEBL;2021;81819
LEBL;2022;141717
LEBL;2023;20838
LECO;2016;5306
LECO;2017;5625
LECO;2018;5747
LECO;2019;5846
LECO;2020;2688
LECO;2021;3221
LECO;2022;4488
LECO;2023;772
LEDA;2016;218
LEDA;2017;252
LEDA;2018;562
LEDA;2019;1389
LEDA;2020;1244
LEDA;2021;2301
LEDA;2022;1747
LEDA;2023;97
LEGE;2016;6632
LEGE;2017;7606
LEGE;2018;7852
LEGE;2019;7821
LEGE;2020;2602
LEGE;2021;3373
LEGE;2022;6438
LEGE;2023;321
LEGR;2016;4145
LEGR;2017;4523
LEGR;2018;5367
LEGR;2019;5751
LEGR;2020;2635
LEGR;2021;3003
LEGR;2022;4502
LEGR;2023;767
LEIB;2016;34676
LEIB;2017;36664
LEIB;2018;37506
LEIB;2019;36683
LEIB;2020;15795
LEIB;2021;29935
LEIB;2022;39427
LEIB;2023;2502
LEJR;2016;7151
LEJR;2017;7568
LEJR;2018;7534
LEJR;2019;7548
LEJR;2020;3938
LEJR;2021;6329
LEJR;2022;7113
LEJR;2023;961
LELC;2016;4107
LELC;2017;4318
LELC;2018;4466
LELC;2019;209
LELC;2020;52
LELC;2021;133
LELC;2022;66
LELC;2023;13
LELL;2016;1059
LELL;2017;1038
LELL;2018;841
LELL;2019;1339
LELL;2020;1031
LELL;2021;1447
LELL;2022;1727
LELL;2023;256
LEMD;2016;189062
LEMD;2017;193818
LEMD;2018;204937
LEMD;2019;213189
LEMD;2020;82828
LEMD;2021;108791
LEMD;2022;175974
LEMD;2023;29126
LEMG;2016;61043
LEMG;2017;67425
LEMG;2018;68794
LEMG;2019;70389
LEMG;2020;28471
LEMG;2021;43720
LEMG;2022;69702
LEMG;2023;8442
LEMH;2016;15512
LEMH;2017;15017
LEMH;2018;15525
LEMH;2019;15615
LEMH;2020;7141
LEMH;2021;12950
LEMH;2022;17912
LEMH;2023;1298
LEPA;2016;98722
LEPA;2017;104339
LEPA;2018;110098
LEPA;2019;108540
LEPA;2020;38197
LEPA;2021;70277
LEPA;2022;110073
LEPA;2023;8297
LEPP;2016;1706
LEPP;2017;1772
LEPP;2018;1938
LEPP;2019;2057
LEPP;2020;1010
LEPP;2021;1327
LEPP;2022;1664
LEPP;2023;256
LERT;2016;2666
LERT;2017;2909
LERT;2018;2112
LERT;2019;2185
LERT;2020;1846
LERT;2021;2477
LERT;2022;2592
LERT;2023;377
LESB;2016;230
LESB;2017;221
LESB;2018;236
LESB;2019;268
LESB;2020;248
LESB;2021;527
LESB;2022;569
LESB;2023;40
LESO;2016;2640
LESO;2017;2844
LESO;2018;2699
LESO;2019;2769
LESO;2020;956
LESO;2021;1209
LESO;2022;2321
LESO;2023;297
LEST;2016;9960
LEST;2017;10112
LEST;2018;10375
LEST;2019;10609
LEST;2020;4705
LEST;2021;6915
LEST;2022;11949
LEST;2023;1583
LEVC;2016;27651
LEVC;2017;30575
LEVC;2018;34451
LEVC;2019;36239
LEVC;2020;15568
LEVC;2021;22036
LEVC;2022;34679
LEVC;2023;4828
LEVD;2016;1454
LEVD;2017;1333
LEVD;2018;1519
LEVD;2019;1409
LEVD;2020;645
LEVD;2021;1116
LEVD;2022;1404
LEVD;2023;176
LEVX;2016;4747
LEVX;2017;5198
LEVX;2018;5296
LEVX;2019;4852
LEVX;2020;2014
LEVX;2021;3442
LEVX;2022;5035
LEVX;2023;785
LEXJ;2016;3999
LEXJ;2017;4577
LEXJ;2018;4631
LEXJ;2019;4572
LEXJ;2020;1961
LEXJ;2021;2833
LEXJ;2022;4758
LEXJ;2023;652
LEZG;2016;3811
LEZG;2017;3936
LEZG;2018;4663
LEZG;2019;4268
LEZG;2020;3076
LEZG;2021;4150
LEZG;2022;4521
LEZG;2023;640
LEZL;2016;19459
LEZL;2017;20742
LEZL;2018;25247
LEZL;2019;29365
LEZL;2020;13605
LEZL;2021;17373
LEZL;2022;26560
LEZL;2023;4124
LFBA;2016;2151
LFBA;2017;2335
LFBA;2018;2154
LFBA;2019;1899
LFBA;2020;1091
LFBA;2021;906
LFBA;2022;869
LFBA;2023;120
LFBD;2016;32250
LFBD;2017;33185
LFBD;2018;34776
LFBD;2019;37359
LFBD;2020;14844
LFBD;2021;19282
LFBD;2022;27459
LFBD;2023;3519
LFBE;2016;2141
LFBE;2017;2255
LFBE;2018;2063
LFBE;2019;2180
LFBE;2020;1065
LFBE;2021;1219
LFBE;2022;1793
LFBE;2023;152
LFBH;2016;2562
LFBH;2017;2399
LFBH;2018;2511
LFBH;2019;2692
LFBH;2020;1306
LFBH;2021;1782
LFBH;2022;2201
LFBH;2023;211
LFBI;2016;2571
LFBI;2017;2628
LFBI;2018;2451
LFBI;2019;2457
LFBI;2020;1491
LFBI;2021;2067
LFBI;2022;2115
LFBI;2023;313
LFBL;2016;3258
LFBL;2017;3417
LFBL;2018;3118
LFBL;2019;3024
LFBL;2020;1807
LFBL;2021;2315
LFBL;2022;2982
LFBL;2023;464
LFBO;2016;45699
LFBO;2017;49691
LFBO;2018;48798
LFBO;2019;48044
LFBO;2020;20602
LFBO;2021;23951
LFBO;2022;35088
LFBO;2023;5610
LFBP;2016;5482
LFBP;2017;5874
LFBP;2018;5923
LFBP;2019;5945
LFBP;2020;2680
LFBP;2021;3404
LFBP;2022;4043
LFBP;2023;588
LFBT;2016;3392
LFBT;2017;3504
LFBT;2018;3572
LFBT;2019;3471
LFBT;2020;1773
LFBT;2021;2422
LFBT;2022;3201
LFBT;2023;389
LFBZ;2016;7063
LFBZ;2017;7264
LFBZ;2018;6915
LFBZ;2019;6156
LFBZ;2020;3302
LFBZ;2021;4747
LFBZ;2022;5859
LFBZ;2023;648
LFCR;2016;1794
LFCR;2017;2012
LFCR;2018;1848
LFCR;2019;1938
LFCR;2020;982
LFCR;2021;1476
LFCR;2022;1643
LFCR;2023;209
LFGJ;2016;1313
LFGJ;2017;1324
LFGJ;2018;1328
LFGJ;2019;1412
LFGJ;2020;981
LFGJ;2021;1255
LFGJ;2022;1438
LFGJ;2023;153
LFJL;2016;2925
LFJL;2017;3124
LFJL;2018;3282
LFJL;2019;3232
LFJL;2020;1149
LFJL;2021;890
LFJL;2022;1204
LFJL;2023;222
LFKB;2016;8093
LFKB;2017;8096
LFKB;2018;8510
LFKB;2019;8443
LFKB;2020;5648
LFKB;2021;7490
LFKB;2022;8489
LFKB;2023;900
LFKC;2016;3120
LFKC;2017;3140
LFKC;2018;3085
LFKC;2019;2983
LFKC;2020;2239
LFKC;2021;3069
LFKC;2022;3262
LFKC;2023;257
LFKF;2016;5229
LFKF;2017;5366
LFKF;2018;5386
LFKF;2019;5116
LFKF;2020;4368
LFKF;2021;6094
LFKF;2022;6246
LFKF;2023;285
LFKJ;2016;8445
LFKJ;2017;8742
LFKJ;2018;9008
LFKJ;2019;8617
LFKJ;2020;6146
LFKJ;2021;8212
LFKJ;2022;8952
LFKJ;2023;818
